PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	01,	001,419,4396,335294,4,2479,618,581,3417,105334,263,0,69410,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	01,	002,0,33,6369,0,2,16,5,20,5410,4,0,4867,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	01,	003,2,159,13029,0,8,10,20,3,13074,10,0,2894,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	01,	004,1,21,2557,0,0,5,6,0,1764,0,0,1482,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	01,	005,29,236,36550,0,47,85,35,182,15613,20,0,9010,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	01,	006,0,177,9957,0,11,19,0,18,5198,0,0,2671,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	01,	007,3,108,9302,0,1,37,4,7,6534,1,0,7608,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	01,	008,3,55,1679,0,0,1,2,0,1812,0,0,711,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	01,	009,0,40,3347,0,0,5,9,0,2915,0,0,1639,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	01,	010,2,44,3919,0,0,7,4,0,3204,0,0,2131,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	01,	011,13,77,12421,0,6,14,21,539,5692,2,0,3609,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	02,	001,0,677,199910,0,1076,1604,0,113,73784,0,0,3391,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	02,	002,0,1560,531986,0,445,908,0,60,142278,0,0,10423,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	02,	003,0,96,54730,0,154,206,0,15,21280,0,0,1167,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	02,	004,0,6653,821305,0,8917,1234,0,216,217330,0,0,34814,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	02,	005,0,725,50809,0,477,77,0,17,18743,0,0,1621,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	03,	001,38,124,29116,7,5,112,253,50,19622,4,0,201,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	03,	002,16,106,21496,1,4,218,69,65,13800,2,1,146,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	03,	003,1467,8578,195828,39,405,653,2279,632,70417,65,1,5256,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	03,	008,142,13510,131561,2,492,450,251,1218,48706,1,158,9462,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	03,	009,5,221,5868,0,1,39,22,27,3762,0,0,116,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	04,	001,1,56,5050,0,0,14,10,5,1282,4,9,9104,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	04,	002,346,893,68070,20,163,350,738,158,19022,166,8,52239,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	04,	003,23,1128,62499,0,151,69,35,162,16065,28,168,26077,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	04,	004,9,168,7982,3,8,13,53,25,5765,2,24,15797,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	04,	005,3,51,2911,0,0,3,10,1,1253,1,0,3763,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	04,	006,14,23,4119,1,0,4,30,1,3470,3,9,3830,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	04,	007,7,21,800,0,2,5,6,1,366,4,0,1053,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	04,	008,4,15,1027,1,0,4,10,1,613,8,0,1298,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	04,	009,7,170,6791,1,4,10,32,7,5469,0,7,12442,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	04,	010,11,58,1552,0,0,1,35,0,960,7,2,2484,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	04,	011,3,87,3802,0,0,4,4,17,4065,0,0,6994,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	04,	012,0,25,1487,0,0,8,8,0,909,0,65,2134,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	04,	013,0,0,1041,0,0,1,1,1,702,0,0,2552,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	001,1,1,264,0,0,7,0,0,194,0,0,7,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	002,2,847,19624,0,490,11440,28,49,11099,0,0,1064,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	003,2,33,3731,0,10,1180,0,3,2946,0,0,109,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	004,0,72,3570,0,105,1778,14,0,3740,0,0,129,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	005,0,0,173,0,0,9,0,0,171,0,0,0,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	006,2,46,5422,0,128,254,6,20,3275,0,0,151,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	007,0,1,2082,0,0,368,5,0,1650,1,0,76,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	008,2,0,300,0,0,15,0,1,363,0,0,7,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	009,0,1,8400,0,0,2478,0,3,5082,0,0,1137,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	010,10,168,18425,0,239,711,38,13,6538,2,0,851,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	011,0,2,639,0,0,368,2,0,1084,0,0,18,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	012,0,0,287,0,0,13,0,0,265,0,0,4,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	013,0,0,261,0,0,3,0,0,166,0,0,3,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	014,0,2,782,0,9,479,4,0,1234,0,0,12,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	015,0,0,218,0,0,9,0,0,304,0,0,7,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	016,0,0,333,0,0,22,1,0,168,0,0,6,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	017,0,0,20067,0,4,561,20,8,10426,0,0,1820,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	018,53,817,63477,0,618,2384,61,89,21967,4,0,2984,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	019,0,5,1245,0,3,434,0,0,1506,0,0,24,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	020,5,80,12136,0,130,560,16,37,8101,0,0,520,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	021,0,4,1502,0,6,50,0,0,631,0,0,47,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	022,0,30,4295,0,7,1246,14,1,3225,0,0,109,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	023,0,0,442,0,0,108,1,0,545,0,0,7,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	024,0,146,6960,0,30,2244,7,8,4671,3,0,2959,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2022,	05,	025,13,631,53316,0,327,1603,53,12,16857,0,0,1978,Cifras Definitivas
